Formulary List
acyclovir 200mg tablet
acyclovir cream
albendazole 400mg tablet
albuterol inhaler (salbutamol)
amitriptyline 25mg tablet
amoxicillin 125mg/5mL Oral Liquid
amoxicillin 250mg capsule
aminophylline 100mg tablet
aminophylline 250mg/10mL for injection
artemether/lumefantrine 20/120mg tablet
artemether/lumefantrine 180/1080mg suspension 
aspirin 325mg tablet
atenolol 100mg tablet
azithromycin 500mg tablet
Bactrim (TMP/SMX) 40/200/5mL Oral Liquid
Bactrim (TMP/SMX) 80/400mg tablet
beclomethasone inhaler
bendroflumethiazide 5mg tablet
benzhexol 5mg tablet
benzyl benzoate topical
betamethasone ointment
bisacodyl 5mg tablet
calamine lotion
calcium lactate 300mg tablet
captopril 25mg tablet
carbamazepine 200mg tablet
ceftriaxone for injection,,bottle(s)
cephalexin 250mg capsule
cephalexin 125mg/5mL oral liquid
cetirizine 10mg tablet
charcoal 250mg tablet
chloramphenicol eye drops
chlorphenamine (chlorpheniramine) 4mg tablet
chlorpromazine 25mg tablet
cimetidine 400mg tablet
ciprofloxacin 500mg tablet
ciprofloxacin IV
clindamycin 150mg capsule
clotrimazole cream
clotrimazole vaginal dose pack
cloxacillin 250mg capsule
Coartem 20/120mg tablet
codeine phosphate 30mg tablet
Cold Capsules (Flucap)
cotrimoxazole 400/80mg tablet
Cough Syrup (Betalinctus)
D5W 250ml for injection
dexamethasone 0.5mg tablet
diazepam 5mg tablet
diazepam 10mg/2mL for injection
diclofenac 50mg tablet
diclofenac 25mg/mL for injection
digoxin 0.25mg tablet
doxycycline 100mg tablet
Ecodax G topical
erythromycin 250mg tablet
erythromycin 125mg/5mL Oral Syrup
Fansidar (sulfadoxine/pyrimethamine) 500/25mg tablet
Ferro B Oral Liquid
ferrous sulfate 200mg tablet
Flucap capsule
fluconazole 200mg capsule
folic acid 5mg tablet
frusemide 40mg tablet
furosemide 40mg tablet
gabapentin 300mg capsule
gentamicin eye drops
glibenclamide 5mg tablet
griseofulvin 500mg tablet
haloperidol 5mg tablet
hydralazine 25mg tablet
hydrocortisone 1% cream
ibuprofen 200mg tablet
imipramine 25mg tablet
indomethacin 25mg capsule
intamine cream
ketoconazole 200mg tablet
labetalol 200mg tablet
Lidocaine injection
Lignocaine injection
Lonart 20/120mg tablet
Lonart 180/1080mg oral suspension
magnesium triscillate 250/150mg tablets
mebendazole 100mg tablet
medroxyprogesterone (Depo-Provera) 150mg injection
metformin 500mg tablet
methotrexate 2.5mg tablet
methyldopa 250mg tablet
methylergometrine maleate 0.2mg injection
metoclopramide 10mg tab
metronidazole 200mg tablet
metronidazole IV
metronidazole 200mg/5mL Oral Lquid
multivitamin chewable tablet
multivitamin tablet
neomycin cream
nifedipine 20mg capsule
nitrofurantoin 100mg capsule
NS 250ml for injection
nitroglycerin (NTG) 0.4mg SL tablet
nystatin Oral Liquid
nystatin vaginal dose pack
omeprazole 20mg capsule
Opele (benzyl benzoate) topical
ORS packet
paracetamol 120mg/5mL Oral Liquid
paracetamol 500mg tablet
Pen G 2.4MU injection
phenobarbitone 30mg tablet
phenytoin 100mg tablet
praziquantal 600mg tablet
prednisolone 5mg tablet
promethazine 25mg tablet
propranolol 40mg tablet
quinine 600mg/2mL injection
quinine 100mg/5mL Oral Liquid
quinine 300mg tablet
Ringers Lactate 250ml for injection
salbutamol 4mg tablet
salbutamol inhaler
Septra (TMP/SMX) 40/200/5mL Oral Liquid
Septra (TMP/SMX) 80/400mg tablet
spironolactone 25mg tablet
sulfadoxine/pyrimethamine 500/25mg tablet
sulphur ointment
tetracycline eye ointment
tramadol 50mg tablet
trimethoprim/sulfamethoxazole 40/200/5mL Oral Liquid
trimethoprim/sulfamethoxazole 80/400mg tablet
"Vitamin A capsule (200,000 iu)"
Vitamin C 100mg tablet
Whitfields ointment (benzoic acid 6%/salicyclic acid 3%)
zinc (15mg) lozenges 
